Year,Name,League,ATT,MID,DEF,OVR
2018,Spain,Men's National,84,86,86,86
2018,Brazil,Men's National,86,83,85,85
2018,Germany,Men's National,81,85,84,85
2018,Belgium,Men's National,86,84,85,84
2018,France,Men's National,83,86,81,84
2018,Portugal,Men's National,85,82,80,83
2018,Italy,Men's National,85,81,85,83
2018,Argentina,Men's National,87,81,80,82
2018,England,Men's National,83,81,81,82
2018,Uruguay,Men's National,86,76,79,80
2018,Netherlands,Men's National,80,80,80,80
2018,Colombia,Men's National,81,77,78,79
2018,Poland,Men's National,82,75,79,78
2018,Russia,Men's National,80,78,76,78
2018,Mexico,Men's National,79,79,76,78
2018,Denmark,Men's National,75,78,76,78
2018,Switzerland,Men's National,75,77,78,78
2018,Turkey,Men's National,80,77,75,77
2018,Austria,Men's National,80,77,75,77
2018,Chile,Men's National,77,80,75,77
2018,Greece,Men's National,78,74,77,76
2018,Sweden,Men's National,77,76,76,76
2018,Côte d'Ivoire,Men's National,75,77,77,76
2018,Wales,Men's National,82,72,76,75
2018,United States,Men's National,76,76,74,75
2018,Scotland,Men's National,75,75,74,75
2018,Ireland,Men's National,75,74,75,75
2018,Czech Republic,Men's National,75,74,73,75
2018,Slovenia,Men's National,73,75,74,75
2018,Paraguay,Men's National,75,74,72,74
2018,Norway,Men's National,74,73,73,74
2018,Venezuela,Men's National,76,72,70,73
2018,Saudi Arabia,Men's National,73,73,72,73
2018,Australia,Men's National,69,73,72,73
2018,Egypt,Men's National,80,72,70,72
2018,Iceland,Men's National,73,75,70,72
2018,Peru,Men's National,73,72,71,72
2018,South Africa,Men's National,73,71,70,72
2018,Romania,Men's National,72,72,70,72
2018,Hungary,Men's National,71,72,71,72
2018,Ecuador,Men's National,68,71,72,72
2018,Cameroon,Men's National,75,73,69,71
2018,Northern Ireland,Men's National,71,71,71,71
2018,China PR,Men's National,70,70,70,70
2018,Bulgaria,Men's National,70,70,69,70
2018,Canada,Men's National,74,70,66,69
2018,Finland,Men's National,71,68,68,69
2018,New Zealand,Men's National,69,66,67,68
2018,Bolivia,Men's National,69,67,66,67
2018,India,Men's National,63,58,58,60
2017,Spain,Men's National,84,85,85,85
2017,Germany,Men's National,82,86,84,85
2017,Brazil,Men's National,87,82,85,84
2017,Belgium,Men's National,85,83,84,84
2017,Argentina,Men's National,87,83,80,83
2017,Portugal,Men's National,85,82,81,83
2017,France,Men's National,82,83,81,83
2017,Italy,Men's National,82,81,85,83
2017,England,Men's National,82,81,81,81
2017,Netherlands,Men's National,81,81,80,81
2017,Uruguay,Men's National,85,76,80,79
2017,Poland,Men's National,82,77,77,79
2017,Chile,Men's National,79,80,77,79
2017,Colombia,Men's National,79,79,76,78
2017,Mexico,Men's National,79,78,74,78
2017,Turkey,Men's National,78,79,78,78
2017,Denmark,Men's National,76,79,76,78
2017,Switzerland,Men's National,74,78,78,78
2017,Austria,Men's National,78,77,77,77
2017,Côte d'Ivoire,Men's National,78,78,76,76
2017,Sweden,Men's National,77,76,76,76
2017,Russia,Men's National,77,75,75,76
2017,Greece,Men's National,77,74,78,76
2017,Wales,Men's National,76,75,76,76
2017,Ireland,Men's National,76,76,76,75
2017,United States,Men's National,75,75,76,75
2017,Paraguay,Men's National,74,75,72,75
2017,Czech Republic,Men's National,73,75,74,75
2017,Ecuador,Men's National,74,76,71,74
2017,Scotland,Men's National,74,75,71,74
