Year,Name,ATT,MID,DEF,OVR
2018,Spain,84,86,86,86
2018,Brazil,86,83,85,85
2018,Germany,81,85,84,85
2018,Belgium,86,84,85,84
2018,France,83,86,81,84
2018,Portugal,85,82,80,83
2018,Italy,85,81,85,83
2018,Argentina,87,81,80,82
2018,England,83,81,81,82
2018,Uruguay,86,76,79,80
2018,Netherlands,80,80,80,80
2018,Colombia,81,77,78,79
2018,Poland,82,75,79,78
2018,Russia,80,78,76,78
2018,Mexico,79,79,76,78
2018,Denmark,75,78,76,78
2018,Switzerland,75,77,78,78
2018,Turkey,80,77,75,77
2018,Austria,80,77,75,77
2018,Chile,77,80,75,77
2018,Greece,78,74,77,76
2018,Sweden,77,76,76,76
2018,Côte d'Ivoire,75,77,77,76
2018,Wales,82,72,76,75
2018,United States,76,76,74,75
2018,Scotland,75,75,74,75
2018,Ireland,75,74,75,75
2018,Czech Republic,75,74,73,75
2018,Slovenia,73,75,74,75
2018,Paraguay,75,74,72,74
2018,Norway,74,73,73,74
2018,Venezuela,76,72,70,73
2018,Saudi Arabia,73,73,72,73
2018,Australia,69,73,72,73
2018,Egypt,80,72,70,72
2018,Iceland,73,75,70,72
2018,Peru,73,72,71,72
2018,South Africa,73,71,70,72
2018,Romania,72,72,70,72
2018,Hungary,71,72,71,72
2018,Ecuador,68,71,72,72
2018,Cameroon,75,73,69,71
2018,Northern Ireland,71,71,71,71
2018,China PR,70,70,70,70
2018,Bulgaria,70,70,69,70
2018,Canada,74,70,66,69
2018,Finland,71,68,68,69
2018,New Zealand,69,66,67,68
2018,Bolivia,69,67,66,67
2018,India,63,58,58,60
2017,Spain,84,85,85,85
2017,Germany,82,86,84,85
2017,Brazil,87,82,85,84
2017,Belgium,85,83,84,84
2017,Argentina,87,83,80,83
2017,Portugal,85,82,81,83
2017,France,82,83,81,83
2017,Italy,82,81,85,83
2017,England,82,81,81,81
2017,Netherlands,81,81,80,81
2017,Uruguay,85,76,80,79
2017,Poland,82,77,77,79
2017,Chile,79,80,77,79
2017,Colombia,79,79,76,78
2017,Mexico,79,78,74,78
2017,Turkey,78,79,78,78
2017,Denmark,76,79,76,78
2017,Switzerland,74,78,78,78
2017,Austria,78,77,77,77
2017,Côte d'Ivoire,78,78,76,76
2017,Sweden,77,76,76,76
2017,Russia,77,75,75,76
2017,Greece,77,74,78,76
2017,Wales,76,75,76,76
2017,Ireland,76,76,76,75
2017,United States,75,75,76,75
2017,Paraguay,74,75,72,75
2017,Czech Republic,73,75,74,75
2017,Ecuador,74,76,71,74
2017,Scotland,74,75,71,74
2017,Slovenia,73,76,70,74
2017,Venezuela,76,71,71,73
2017,Romania,74,71,72,73
2017,Norway,72,74,71,73
2017,Egypt,76,71,69,72
2017,Hungary,72,73,70,72
2017,Australia,71,71,72,72
2017,South Africa,70,72,72,72
2017,Cameroon,71,73,71,71
2017,Finland,71,70,70,71
2017,Northern Ireland,69,72,72,71
2017,Peru,72,70,68,70
2017,Bulgaria,69,70,69,70
2017,Canada,68,69,65,68
2017,Bolivia,71,67,66,67
2017,China PR,66,64,60,64
2017,India,63,59,58,60
2016,Argentina,88,80,77,82
2016,France,82,82,80,82
2016,Portugal,85,80,79,81
2016,Belgium,80,82,77,81
2016,Italy,79,79,84,81
2016,England,81,79,80,80
2016,Netherlands,81,78,77,79
2016,Uruguay,84,75,77,78
2016,Switzerland,76,77,78,78
2016,Chile,80,77,75,77
2016,Russia,78,76,77,77
2016,Turkey,77,78,76,77
2016,Mexico,76,79,76,77
2016,Poland,82,75,74,76
2016,Côte d'Ivoire,78,77,71,76
2016,Colombia,75,77,75,76
2016,Denmark,74,77,75,76
2016,Greece,76,72,76,75
2016,Ireland,75,74,75,75
2016,Austria,73,77,76,75
2016,Czech Republic,73,75,73,75
2016,Scotland,76,74,72,74
2016,Sweden,76,73,74,74
2016,United States,74,74,73,74
2016,Wales,74,74,73,74
2016,Ecuador,74,72,69,73
2016,Paraguay,73,71,71,73
2016,Romania,71,72,73,73
2016,Slovenia,70,73,72,73
2016,Norway,70,72,71,73
2016,Cameroon,69,69,77,73
2016,Australia,71,72,69,72
2016,Hungary,73,70,68,71
2016,Venezuela,72,72,70,71
2016,South Africa,67,71,72,71
2016,Northern Ireland,68,69,69,70
2016,Finland,66,71,67,70
2016,China PR,70,67,66,69
2016,Bulgaria,69,70,68,69
2016,Egypt,69,69,67,69
2016,Peru,69,66,67,68
2016,Canada,68,69,65,67
2016,Bolivia,61,65,65,65
2016,New Zealand,66,61,66,64
2016,India,61,56,57,58
2015,Germany,82,82,78,84
2015,Spain,80,84,82,83
2015,Argentina,86,80,81,82
2015,Brazil,82,80,83,82
2015,Belgium,80,81,77,81
2015,France,80,80,80,81
2015,Portugal,83,80,75,80
2015,England,81,78,78,80
2015,Italy,79,79,77,79
2015,Netherlands,78,82,77,79
2015,Colombia,81,78,75,78
2015,Russia,78,77,75,77
2015,Switzerland,76,77,78,77
2015,Mexico,79,77,74,76
2015,Turkey,78,77,75,76
2015,Chile,76,76,73,76
2015,Uruguay,75,74,77,76
2015,Poland,78,72,74,75
2015,Sweden,80,75,72,74
2015,Côte d'Ivoire,78,75,68,74
2015,Greece,78,73,74,74
2015,Denmark,75,72,74,74
2015,Ireland,74,75,71,74
2015,Czech Republic,73,73,72,74
2015,Austria,71,74,74,74
2015,Scotland,76,72,70,73
2015,United States,76,70,72,73
2015,Wales,73,73,71,73
2015,Cameroon,75,71,74,72
