,Country,Year,Wins,Losses,Draws,Points_Scored,Points_Against,Ttl_Games,ATT,MID,DEF,Placement
0,Scotland,2005,2,3,4,11,8,9,73,76,78,
1,England,2005,7,3,1,19,11,11,89,88,88,
2,Wales,2005,5,3,1,7,8,9,82,80,67,
3,Northern Ireland,2005,5,3,2,8,17,10,65,67,67,
4,Uruguay,2005,6,0,5,9,11,11,82,75,75,
5,Austria,2005,4,1,4,11,8,9,74,65,69,
6,Hungary,2005,6,4,3,14,16,13,65,58,63,
7,Argentina,2005,9,4,4,28,23,17,86,85,87,
8,Belgium,2005,5,2,2,17,10,9,74,75,71,
9,France,2005,5,1,5,19,6,11,94,89,84,
10,Switzerland,2005,3,4,4,17,9,11,78,77,77,
11,Sweden,2005,5,3,4,24,10,12,83,76,75,
12,Germany,2005,6,4,5,32,24,15,81,85,85,
13,Italy,2005,4,3,6,20,8,13,92,83,86,
14,Norway,2005,3,9,4,17,12,16,76,73,77,
15,Finland,2005,2,9,2,22,19,13,78,66,71,
16,Russia,2005,4,1,5,15,8,10,64,73,72,
17,Denmark,2005,7,2,1,23,9,10,85,80,77,
18,Brazil,2005,9,3,4,47,14,16,92,88,87,
19,Paraguay,2005,8,3,1,21,17,12,78,67,68,
20,Costa Rica,2005,13,6,5,37,33,24,72,70,65,
21,Spain,2005,6,2,4,29,5,12,90,88,86,
22,Poland,2005,10,3,1,35,15,14,71,71,71,
23,Romania,2005,5,4,1,16,9,10,71,74,67,
24,Portugal,2005,8,1,3,24,5,12,85,83,83,
25,Australia,2005,8,3,1,27,14,12,85,74,72,
26,Turkey,2005,5,4,2,24,12,11,81,81,73,
27,Mexico,2005,14,5,7,44,26,26,70,71,68,
28,Bulgaria,2005,5,3,3,20,16,11,81,74,69,
29,Greece,2005,7,4,2,12,12,13,75,78,81,
30,Croatia,2005,4,2,4,19,9,10,74,75,80,
31,Nigeria,2005,3,2,2,15,8,7,77,71,74,
32,Tunisia,2005,5,5,2,28,12,12,69,68,63,
33,Cameroon,2005,3,2,2,12,5,7,72,78,75,
34,Slovenia,2005,1,5,3,6,14,9,68,69,70,
35,Czech Republic,2005,7,5,0,35,12,12,83,85,81,
36,China PR,2005,0,0,0,0,0,0,71,66,62,
37,Scotland,2006,3,3,1,15,7,7,72,73,76,
38,England,2006,9,1,4,28,7,14,91,85,86,
39,Wales,2006,4,2,2,11,11,8,78,77,64,
40,Northern Ireland,2006,4,3,1,7,9,8,65,67,70,
41,Uruguay,2006,4,4,2,13,7,10,84,77,72,
42,Austria,2006,2,5,1,12,14,8,70,67,73,
43,Hungary,2006,4,4,0,11,12,8,66,59,63,
44,Argentina,2006,5,2,2,16,11,9,87,81,85,
45,Belgium,2006,3,3,3,12,7,9,76,75,71,
46,France,2006,7,7,3,30,9,17,92,88,84,1.0
47,Switzerland,2006,5,4,4,21,8,13,79,75,78,
48,Sweden,2006,7,2,6,13,15,15,85,74,76,
49,Germany,2006,11,4,3,55,15,18,85,81,82,1.0
50,Italy,2006,6,4,6,25,12,16,88,84,88,1.0
51,Norway,2006,5,1,4,12,15,10,83,78,77,
52,Finland,2006,2,4,6,11,10,12,77,69,75,
53,Russia,2006,2,2,3,6,2,7,80,70,75,
54,Denmark,2006,3,3,3,16,6,9,82,79,78,
55,Brazil,2006,5,6,1,25,5,12,92,89,86,
56,Paraguay,2006,5,1,4,10,11,10,79,68,69,
57,Costa Rica,2006,7,1,1,8,21,9,67,69,65,
58,Spain,2006,9,3,2,24,14,14,86,86,85,
59,Poland,2006,4,11,1,21,18,16,74,69,71,
60,Romania,2006,4,4,2,16,5,10,69,66,73,
61,Portugal,2006,9,4,2,27,13,15,86,86,83,1.0
62,Australia,2006,8,1,4,19,13,13,83,73,72,
63,Turkey,2006,2,5,6,22,12,13,75,76,70,
64,Mexico,2006,10,1,1,14,12,12,72,68,69,
65,Bulgaria,2006,2,4,3,12,12,9,80,78,68,
66,Greece,2006,5,3,2,11,8,10,65,81,77,
67,Croatia,2006,5,6,4,31,16,15,80,74,81,
68,Nigeria,2006,4,3,1,10,3,8,83,72,76,
69,Tunisia,2006,9,3,4,19,13,16,69,70,68,
70,Cameroon,2006,5,1,2,15,4,8,93,70,72,
71,Slovenia,2006,4,3,1,9,14,8,72,66,70,
72,Czech Republic,2006,5,5,3,26,12,13,85,75,79,
73,China PR,2006,0,0,0,0,0,0,70,66,62,
74,Scotland,2007,6,4,0,14,9,10,73,77,74,
75,England,2007,4,6,2,21,9,12,88,85,85,
76,Wales,2007,3,4,5,16,13,12,78,74,68,
77,Northern Ireland,2007,6,1,2,13,9,9,63,67,68,
78,Uruguay,2007,4,6,4,23,16,14,78,72,75,
79,Austria,2007,3,3,6,7,13,12,70,68,70,
80,Hungary,2007,10,3,0,14,19,13,69,67,65,
81,Argentina,2007,9,5,2,32,14,16,87,80,78,
82,Belgium,2007,5,3,2,10,16,10,74,76,78,
83,France,2007,4,5,3,18,6,12,89,83,84,
84,Switzerland,2007,5,4,1,15,16,10,77,73,76,
85,Sweden,2007,8,3,3,20,15,14,79,76,71,
86,Germany,2007,5,5,2,24,9,12,86,85,82,
87,Italy,2007,5,4,1,18,7,10,87,82,86,
88,Norway,2007,4,5,2,24,12,11,77,75,74,
89,Finland,2007,4,1,5,6,5,10,75,70,75,
90,Russia,2007,6,2,2,16,12,10,80,73,74,
91,Denmark,2007,5,6,1,19,16,12,81,76,69,
92,Brazil,2007,8,5,5,38,13,18,87,83,80,
93,Paraguay,2007,9,3,4,22,18,16,79,73,70,
94,Spain,2007,5,5,2,21,5,12,85,83,82,
95,Poland,2007,6,2,5,26,12,13,76,70,70,
96,Romania,2007,8,3,1,24,7,12,72,69,77,
97,Portugal,2007,3,3,6,19,8,12,79,79,80,
98,Australia,2007,2,6,2,15,11,10,80,77,72,
99,Turkey,2007,5,3,4,17,14,12,79,76,71,
100,Mexico,2007,15,6,2,39,26,23,78,73,78,
101,Bulgaria,2007,5,4,2,16,5,11,83,73,69,
102,Greece,2007,4,6,1,21,14,11,78,76,78,
