Index,Country,Year,WC_Finals,WC_Qual,WC_Standing,FIFA_Ranking_PreWC
,Ghana,2010,0,1,7,32
50,Italy,2006,1,1,1,13
208,Spain,2010,1,1,1,2
361,Germany,2014,1,1,1,2
46,France,2006,1,1,2,8
197,Netherlands,2010,1,1,2,4
355,Argentina,2014,1,1,2,5
49,Germany,2006,1,1,3,19
200,Germany,2010,1,1,3,6
358,Netherlands,2014,1,1,3,15
61,Portugal,2006,1,1,4,7
191,Uruguay,2010,1,1,4,16
368,Brazil,2014,1,1,4,3
55,Brazil,2006,0,1,5,1
194,Argentina,2010,0,1,5,7
384,Colombia,2014,0,1,5,8
44,Argentina,2006,0,1,6,9
206,Brazil,2010,0,1,6,1
356,Belgium,2014,0,1,6,11
38,England,2006,0,1,7,10
357,France,2014,0,1,7,17
,Ukraine,2006,0,1,8,45
207,Paraguay,2010,0,1,8,31
,Costa Rica,2014,0,1,8,28
58,Spain,2006,0,1,9,5
,Japan,2010,0,1,9,45
363,Chile,2014,0,1,9,14
47,Switzerland,2006,0,1,10,35
377,Mexico,2014,0,1,10,20
,Netherlands,2006,0,1,11,3
212,Portugal,2010,0,1,11,3
359,Switzerland,2014,0,1,11,6
,Ecuador,2006,0,1,12,39
352,Uruguay,2014,0,1,12,7
,Ghana,2006,0,1,13,48
189,England,2010,0,1,13,8
383,Greece,2014,0,1,13,12
48,Sweden,2006,0,1,14,16
215,Mexico,2010,0,1,14,17
,Algeria,2014,0,1,14,22
64,Mexico,2006,0,1,15,4
220,Korea Republic,2010,0,1,15,47
,United States,2014,0,1,15,13
62,Australia,2006,0,1,16,42
,Nigeria,2014,0,1,16,44
,Korea Republic,2006,0,1,17,29
385,Ecuador,2014,0,1,17,26
56,Paraguay,2006,0,1,18,33
223,Slovenia,2010,0,1,18,25
374,Portugal,2014,0,1,18,4
,Ivory Coast,2006,0,1,19,32
198,Switzerland,2010,0,1,19,24
,Croatia,2014,0,1,19,18
72,Czech Republic,2006,0,1,20,2
221,South Africa,2010,0,1,20,83
,Bosnia and Herzegovina,2014,0,1,20,21
59,Poland,2006,0,1,21,29
213,Australia,2010,0,1,21,20
,Ivory Coast,2014,0,1,21,23
67,Croatia,2006,0,1,22,23
210,New Zealand,2010,0,1,22,78
362,Italy,2014,0,1,22,9
,Angola,2006,0,1,23,57
370,Spain,2014,0,1,23,1
69,Tunisia,2006,0,1,24,21
205,Denmark,2010,0,1,24,36
366,Russia,2014,0,1,24,19
,Iran,2006,0,1,25,23
,United States,2006,0,1,25,5
217,Greece,2010,0,1,25,13
,Ghana,2014,0,1,25,37
201,Italy,2010,0,1,26,5
349,England,2014,0,1,26,10
,Trinidad and Tobago,2006,0,1,27,47
387,Korea Republic,2014,0,1,27,57
,Japan,2006,0,1,28,18
,Saudi Arabia,2006,0,1,28,34
,Algeria,2010,0,1,28,30
,Iran,2014,0,1,28,43
196,France,2010,0,1,29,9
,Japan,2014,0,1,29,46
,Togo,2006,0,1,30,61
375,Australia,2014,0,1,30,62
57,Costa Rica,2006,0,1,31,26
222,Cameroon,2010,0,1,31,19
,Honduras,2014,0,1,31,33
,Servia and Montenegro,2006,0,1,32,44
390,Cameroon,2014,0,1,32,56
7,Argentina,2005,0,0,,
25,Australia,2005,0,0,,
5,Austria,2005,0,0,,
