,Country,Year,Wins,Losses,Draws,Points Scored,Points Against,Ttl Games,Win Pct,PPG,position
0,Belgium,1930,0,2,0,0,4,2,0,0,0
1,Belgium,1934,0,1,0,2,5,1,0,2,0
2,Belgium,1938,0,1,0,1,3,1,0,1,0
4,Belgium,1954,0,1,1,5,8,2,0,2.5,0
8,Belgium,1970,1,2,0,4,5,3,0.333333333,1.333333333,0
11,Belgium,1982,2,2,1,3,5,5,0.4,0.6,0
12,Belgium,1986,2,3,2,12,15,7,0.285714286,1.714285714,4
13,Belgium,1990,2,2,0,6,4,4,0.5,1.5,0
14,Belgium,1994,2,2,0,4,4,4,0.5,1,0
15,Belgium,1998,0,0,3,3,3,3,0,1,0
16,Belgium,2002,1,1,2,6,7,4,0.25,1.5,0
19,Belgium,2014,4,1,0,6,3,5,0.8,1.2,0
20,France,1930,1,2,0,4,3,3,0.333333333,1.333333333,0
21,France,1934,0,1,0,2,3,1,0,2,0
22,France,1938,1,1,0,4,4,2,0.5,2,0
24,France,1954,1,1,0,3,3,2,0.5,1.5,0
25,France,1958,4,2,0,23,15,6,0.666666667,3.833333333,3
27,France,1966,0,2,1,2,5,3,0,0.666666667,0
30,France,1978,1,2,0,5,5,3,0.333333333,1.666666667,0
31,France,1982,3,2,2,16,12,7,0.428571429,2.285714286,4
32,France,1986,4,1,2,12,6,7,0.571428571,1.714285714,3
35,France,1998,6,0,1,15,2,7,0.857142857,2.142857143,1
36,France,2002,0,2,1,0,3,3,0,0,0
37,France,2006,4,0,3,9,3,7,0.571428571,1.285714286,2
38,France,2010,0,2,1,1,4,3,0,0.333333333,0
39,France,2014,3,1,1,10,3,5,0.6,2,0
40,Brazil,1930,1,1,0,5,2,2,0.5,2.5,0
41,Brazil,1934,0,1,0,1,3,1,0,1,0
42,Brazil,1938,3,1,1,14,11,5,0.6,2.8,0
43,Brazil,1950,4,1,1,22,6,6,0.666666667,3.666666667,2
44,Brazil,1954,1,1,1,8,5,3,0.333333333,2.666666667,0
45,Brazil,1958,5,0,1,16,4,6,0.833333333,2.666666667,1
46,Brazil,1962,5,0,1,14,5,6,0.833333333,2.333333333,1
47,Brazil,1966,1,2,0,4,6,3,0.333333333,1.333333333,0
48,Brazil,1970,6,0,0,19,7,6,1,3.166666667,1
49,Brazil,1974,3,2,2,6,4,7,0.428571429,0.857142857,4
50,Brazil,1978,4,0,3,10,3,7,0.571428571,1.428571429,3
51,Brazil,1982,4,1,0,15,6,5,0.8,3,0
52,Brazil,1986,4,0,1,10,1,5,0.8,2,0
53,Brazil,1990,3,1,0,4,2,4,0.75,1,0
54,Brazil,1994,5,0,2,11,3,7,0.714285714,1.571428571,1
55,Brazil,1998,4,2,1,14,10,7,0.571428571,2,2
56,Brazil,2002,7,0,0,18,4,7,1,2.571428571,1
57,Brazil,2006,4,1,0,10,2,5,0.8,2,0
58,Brazil,2010,3,1,1,9,4,5,0.6,1.8,0
59,Brazil,2014,3,2,2,11,14,7,0.428571429,1.571428571,0
60,Peru,1930,0,2,0,1,4,2,0,0.5,0
68,Peru,1970,2,2,0,9,9,4,0.5,2.25,0
70,Peru,1978,2,3,1,7,12,6,0.333333333,1.166666667,0
71,Peru,1982,0,1,2,2,6,3,0,0.666666667,0
80,Argentina,1930,4,1,0,18,9,5,0.8,3.6,0
81,Argentina,1934,0,1,0,2,3,1,0,2,0
85,Argentina,1958,1,2,0,5,10,3,0.333333333,1.666666667,0
86,Argentina,1962,1,1,1,2,3,3,0.333333333,0.666666667,0
87,Argentina,1966,2,1,1,4,2,4,0.5,1,0
